,class,text_tfidf
0,ham,"  (0, 8227)	0.23740046706740076
  (0, 5546)	0.4730769050771137
  (0, 4485)	0.4440220397768562
  (0, 1674)	0.3485455702931944
  (0, 985)	0.4730769050771137"
7,ham,"  (0, 7892)	0.2508045763128082
  (0, 6562)	0.200328634919897
  (0, 6224)	0.22612011544460472
  (0, 5862)	0.21267086535399873
  (0, 5426)	0.24401215675529334
  (0, 5282)	0.2508045763128082
  (0, 4898)	0.2508045763128082
  (0, 4833)	0.5016091526256165
  (0, 3288)	0.1721485030884613
  (0, 2211)	0.2229129744677348
  (0, 1772)	0.476924691757413
  (0, 1771)	0.2384623458787065"
8,spam,"  (0, 8157)	0.23676707932871546
  (0, 7862)	0.24353482591176565
  (0, 7858)	0.2233239421473037
  (0, 6522)	0.21696871232575263
  (0, 6279)	0.25526332598548823
  (0, 6116)	0.2972305184828395
  (0, 5894)	0.18066648433107976
  (0, 5169)	0.21696871232575263
  (0, 4312)	0.2972305184828395
  (0, 3835)	0.2277798631535463
  (0, 2342)	0.193393351251266
  (0, 2065)	0.2147190763453193
  (0, 2000)	0.3439952030111048
  (0, 816)	0.25194107431299745
  (0, 322)	0.24611802672974825
  (0, 224)	0.2972305184828395"
9,spam,"  (0, 7801)	0.4946575203998783
  (0, 4991)	0.26756089957019313
  (0, 4952)	0.26137683508661236
  (0, 4951)	0.3528496406892185
  (0, 4398)	0.22166960394621574
  (0, 3265)	0.3100366818353294
  (0, 2872)	0.2749893950972862
  (0, 2086)	0.24025621296801325
  (0, 1784)	0.22471392162051818
  (0, 312)	0.24933023884356276
  (0, 61)	0.3156581955595825"
10,ham,"  (0, 8005)	0.2185502740155651
  (0, 7877)	0.253596141963709
  (0, 7566)	0.277105853942158
  (0, 7538)	0.22658017054552526
  (0, 7290)	0.2886477672344195
  (0, 7117)	0.29086111847171453
  (0, 6864)	0.2745947905822955
  (0, 3789)	0.22474712167977856
  (0, 3474)	0.27797182714600316
  (0, 2651)	0.23252270866765834
  (0, 2288)	0.4447709353832491
  (0, 1099)	0.3698796065672682"
11,spam,"  (0, 8146)	0.17926963614651656
  (0, 7701)	0.15048175762191285
  (0, 7669)	0.28428322105405884
  (0, 6536)	0.14511380476397653
  (0, 6217)	0.15712729429867525
  (0, 5803)	0.221035356431422
  (0, 4002)	0.22645355629931777
  (0, 3761)	0.25603525529766874
  (0, 2401)	0.14264312761778708
  (0, 2306)	0.28428322105405884
  (0, 2223)	0.20237839014673076
  (0, 1889)	0.28428322105405884
  (0, 1835)	0.1752372110018776
  (0, 1128)	0.20434006679840686
  (0, 789)	0.2672528644318503
  (0, 680)	0.28428322105405884
  (0, 397)	0.23539717844364397
  (0, 363)	0.18854462486549245
  (0, 351)	0.17833045052468688
  (0, 298)	0.1962999927687251
  (0, 1)	0.2098177472972404"
12,spam,"  (0, 8274)	0.17510198081191095
  (0, 8218)	0.20835566265357766
  (0, 8202)	0.176876297468816
  (0, 8071)	0.17180268982025063
  (0, 7818)	0.18791426244607418
  (0, 7701)	0.15773819316506782
  (0, 5894)	0.18112918321389035
  (0, 5720)	0.2373734555666621
  (0, 5163)	0.22680978762190643
  (0, 4839)	0.28014016196957425
  (0, 4415)	0.2979917456099872
  (0, 4121)	0.2979917456099872
  (0, 3265)	0.14634242564090041
  (0, 2406)	0.2979917456099872
  (0, 2000)	0.1724380988028645
  (0, 737)	0.2979917456099872
  (0, 559)	0.2979917456099872
  (0, 298)	0.20576584608648707
  (0, 1)	0.21993544517061167"
13,ham,"  (0, 8219)	0.21812616257892295
  (0, 8209)	0.20702721152506223
  (0, 8206)	0.23249194493604006
  (0, 7877)	0.1711714512099797
  (0, 7498)	0.21400567377907695
  (0, 7404)	0.2091962589702298
  (0, 6495)	0.26328716670391783
  (0, 6291)	0.17341285297936185
  (0, 5926)	0.4993201279706855
  (0, 3712)	0.1882193247978571
  (0, 3523)	0.3002099553883031
  (0, 3320)	0.3002099553883031
  (0, 1643)	0.3002099553883031
  (0, 1521)	0.28658285266972805"
14,ham,"  (0, 7184)	0.735333130899948
  (0, 2394)	0.6777058260048234"
15,spam,"  (0, 8293)	0.5370952959123915
  (0, 8010)	0.4466582254751527
  (0, 7831)	0.17238284066049042
  (0, 7701)	0.13569976387963087
  (0, 6002)	0.26854764795619573
  (0, 4857)	0.15279693240262263
  (0, 4507)	0.21729615530496768
  (0, 3854)	0.19645740042239648
  (0, 2278)	0.20797166736385833
  (0, 2089)	0.16165977644274412
  (0, 2023)	0.46176924349925735"
16,ham,"  (0, 8031)	0.7771150566261213
  (0, 5338)	0.6293585534216407"
17,ham,"  (0, 8329)	0.26735886793226876
  (0, 8106)	0.4204668182721539
  (0, 6925)	0.44222915706776456
  (0, 6184)	0.3289686725560822
  (0, 5124)	0.4050261931704523
  (0, 4716)	0.2694639428952653
  (0, 2803)	0.37896775962420565
  (0, 2532)	0.26012742853549625"
18,ham,"  (0, 8043)	0.4499331360116774
  (0, 7416)	0.7155279322700469
  (0, 3495)	0.3986578717118648
  (0, 3128)	0.2541161818208544
  (0, 3076)	0.2491521999080193"
19,spam,"  (0, 8391)	0.23039230442479117
  (0, 7985)	0.2125143271076259
  (0, 7814)	0.10047685948156575
  (0, 7701)	0.11641949407513659
  (0, 7665)	0.14736954879982106
  (0, 7335)	0.3961609082483566
  (0, 6474)	0.2125143271076259
  (0, 5732)	0.23039230442479117
  (0, 5181)	0.17100294929514084
  (0, 5118)	0.16739814369877737
  (0, 4914)	0.13725781531924647
  (0, 4679)	0.23039230442479117
  (0, 3454)	0.21993435810550607
  (0, 2854)	0.3777618532246122
  (0, 2654)	0.1217511330201202
  (0, 783)	0.40411276157668163
  (0, 599)	0.21993435810550607
  (0, 397)	0.18211390439749253
  (0, 363)	0.14586664978074854"
20,ham,"  (0, 6925)	0.7474454646667754
  (0, 6555)	0.664323172370999"
21,ham,"  (0, 7665)	0.29580453538475004
  (0, 4991)	0.3741930634403507
  (0, 4192)	0.3975929707201085
  (0, 3595)	0.7483861268807014
  (0, 3463)	0.23306064199130583"
22,ham,"  (0, 8390)	0.3284587963327085
  (0, 7053)	0.5104672202201159
  (0, 5558)	0.41009017238116113
  (0, 4385)	0.390191177200333
  (0, 2359)	0.3075872298065855
  (0, 2100)	0.4653010079547805"
23,ham,"  (0, 7814)	0.16174858208431472
  (0, 7078)	0.33284240487268363
  (0, 6812)	0.28454727055170453
  (0, 4645)	0.4930040056373787
  (0, 4589)	0.3854873845064719
  (0, 3131)	0.4909534838447882
  (0, 1154)	0.27132476699521735
  (0, 959)	0.27528213683668745"
24,ham,"  (0, 8043)	0.32682893970886656
  (0, 6865)	0.5197555296968118
  (0, 4822)	0.33918171583189743
  (0, 3094)	0.5791657430396526
  (0, 1031)	0.4154032248948263"
25,ham,"  (0, 8230)	0.2598119694506584
  (0, 7688)	0.2881540435851038
  (0, 7458)	0.24016578054775828
  (0, 7153)	0.27125918233682184
  (0, 6764)	0.306516301871159
  (0, 6685)	0.2632380116408581
  (0, 6098)	0.18673609306584485
  (0, 5676)	0.26702532557275915
  (0, 4752)	0.26702532557275915
  (0, 4566)	0.19080983270224877
  (0, 4323)	0.2598119694506584
  (0, 4226)	0.13432428292595758
  (0, 3873)	0.25114310130849055
  (0, 3413)	0.20538477705640296
  (0, 3219)	0.3210912462253132
  (0, 2769)	0.21719326168426767"
26,ham,"  (0, 4566)	0.5284787342343183
  (0, 2199)	0.8489465398139583"
27,ham,"  (0, 7329)	0.30026628983765835
  (0, 4972)	0.2726858613893946
  (0, 4716)	0.19976717491981358
  (0, 4610)	0.17727325515990738
  (0, 4437)	0.24510543294113085
  (0, 3308)	0.33929363033812854
  (0, 3076)	0.2221339695001868
  (0, 2800)	0.3117132018898648
  (0, 2772)	0.30026628983765835
  (0, 2564)	0.23932861937715358
  (0, 2532)	0.38569109439543386
  (0, 1845)	0.29138737505113155
  (0, 1723)	0.24767343020681054"
28,ham,"  (0, 6332)	0.3923099839182939
  (0, 5478)	0.5745428189986584
  (0, 4539)	0.261958736947978
  (0, 4457)	0.3389018191189663
  (0, 4320)	0.2647612481394483
  (0, 1807)	0.37871854178492187
  (0, 1052)	0.34494977950641187"
29,ham,"  (0, 8220)	0.27441595120897416
  (0, 7854)	0.4862859403621132
  (0, 6184)	0.3336715111236016
  (0, 4566)	0.2889774791955558
  (0, 4485)	0.22820990925269957
  (0, 3076)	0.3039177711587488
  (0, 2626)	0.33534671462441956
  (0, 980)	0.4862859403621132"
30,ham,"  (0, 8005)	0.2543511793341304
  (0, 7979)	0.3150111455548885
  (0, 7210)	0.3124352233785267
  (0, 6430)	0.4941330598095504
  (0, 4531)	0.34120309917607733
  (0, 2628)	0.38716978927109763
  (0, 2017)	0.4774622556093928"
31,ham,"  (0, 8317)	0.1829438226943177
  (0, 8202)	0.17945355743260638
  (0, 7495)	0.23169069715271562
  (0, 6952)	0.3167098395882054
  (0, 4485)	0.14862926881669822
  (0, 3494)	0.29725853763339644
  (0, 3030)	0.3167098395882054
  (0, 2641)	0.1821379758178537
  (0, 1956)	0.28422207703691804
  (0, 1932)	0.26338166805330315
  (0, 1849)	0.2921337959463948
  (0, 1323)	0.3167098395882054
  (0, 1115)	0.3167098395882054
  (0, 901)	0.3167098395882054"
32,ham,"  (0, 7353)	1.0"
33,ham,"  (0, 6013)	0.3714726428573282
  (0, 4226)	0.18686540788366074
  (0, 3839)	0.44668652150437943
  (0, 3068)	0.4120245499629401
  (0, 3022)	0.44668652150437943
  (0, 2532)	0.24236051595062794
  (0, 2331)	0.44668652150437943"
34,spam,"  (0, 8329)	0.20820830281627442
  (0, 7731)	0.22357846418551133
  (0, 7405)	0.22243324178717486
  (0, 7142)	0.3274425991554622
  (0, 6300)	0.26158832602297305
  (0, 6218)	0.3104949674535852
  (0, 6217)	0.19699540396809273
  (0, 4988)	0.2514054095431995
  (0, 4951)	0.1992041141496539
  (0, 2154)	0.29512480608434827
  (0, 1901)	0.5969408627988751"
35,ham,"  (0, 8390)	0.2169963630718267
  (0, 8369)	0.25146878661823036
  (0, 8288)	0.3546949959914337
  (0, 7502)	0.3845340622753526
  (0, 5343)	0.1718029137759141
  (0, 5026)	0.21321404830119642
  (0, 4577)	0.2651777971396768
  (0, 4455)	0.2899464600422636
  (0, 4428)	0.32485592970751476
  (0, 3789)	0.19430883812079477
  (0, 3463)	0.19379327898920728
  (0, 809)	0.36707932744272703
  (0, 461)	0.2665445364700909"
36,ham,"  (0, 6334)	0.5923507884688958
  (0, 5382)	0.5465187409007007
  (0, 4539)	0.30795329602482785
  (0, 4457)	0.3984059987555275
  (0, 4320)	0.3112478704628285"
37,ham,"  (0, 4459)	0.8059523868107167
  (0, 1807)	0.5919803630139339"
38,ham,"  (0, 4589)	0.5353908923824735
  (0, 2423)	0.844604399913888"
39,ham,"  (0, 7667)	0.3042878717620085
  (0, 7555)	0.3453591799741088
  (0, 7396)	0.4000451658126412
  (0, 6442)	0.35382490732887645
  (0, 4226)	0.19465315058633806
  (0, 4058)	0.42919595273158684
  (0, 3709)	0.3031172446165157
  (0, 2532)	0.2524610549475872
  (0, 2424)	0.35382490732887645"
40,ham,"  (0, 8073)	0.324213962315972
  (0, 8039)	0.4725027048681632
  (0, 8007)	0.3368251382168768
  (0, 7210)	0.2851973519188034
  (0, 5708)	0.2600489683411647
  (0, 4226)	0.1976652672974298
  (0, 3534)	0.2610107545074717
  (0, 979)	0.39917219445009666
  (0, 855)	0.3777243950734411"
41,ham,"  (0, 8364)	0.35479853690327645
  (0, 8005)	0.18900640883580042
  (0, 7353)	0.20326687828429585
  (0, 7241)	0.26018332309772396
  (0, 7035)	0.38464631366850033
  (0, 5144)	0.1954158860573955
  (0, 4941)	0.3671864835309481
  (0, 4610)	0.19184664068518492
  (0, 3225)	0.29249241201193604
  (0, 2532)	0.2086991089976079
  (0, 2268)	0.3074909300005002
  (0, 1151)	0.38464631366850033"
42,spam,"  (0, 7643)	0.25672449891814797
  (0, 7557)	0.2023208965056093
  (0, 6807)	0.22152552116694652
  (0, 6322)	0.3533333620143598
  (0, 6217)	0.1864275798632385
  (0, 5225)	0.22296407052375594
  (0, 5026)	0.19591407863631174
  (0, 4951)	0.18851780372366128
  (0, 3265)	0.33128804790166666
  (0, 2463)	0.25848282162266156
  (0, 1782)	0.2710794970609076
  (0, 1720)	0.3372948865019759
  (0, 57)	0.2686814448166907
  (0, 30)	0.3533333620143598"
43,ham,"  (0, 6513)	1.0"
44,ham,"  (0, 4726)	0.34666496355574083
  (0, 4633)	0.24805244419071779
  (0, 4485)	0.25161417183994716
  (0, 3972)	0.48115894737039366
  (0, 3807)	0.2945439671785882
  (0, 3563)	0.24805244419071779
  (0, 3534)	0.296173649373236
  (0, 2844)	0.5361574112285207"
45,ham,"  (0, 4916)	0.40651966274275503
  (0, 4859)	0.40651966274275503
  (0, 1777)	0.8182197306390463"
46,ham,"  (0, 5194)	0.47135794548538373
  (0, 3953)	0.5667960887585006
  (0, 3723)	0.5667960887585006
  (0, 2534)	0.3678397405989868"
47,ham,"  (0, 3463)	0.4794684478699244
  (0, 3023)	0.8775591190895378"
48,ham,"  (0, 8317)	0.32895713874537125
  (0, 7714)	0.48961732469429164
  (0, 4798)	0.39272221162189336
  (0, 3810)	0.49944506153534085
  (0, 1498)	0.3724194827011367
  (0, 1203)	0.33119435402652814"
49,ham,"  (0, 8048)	0.5420071468917933
  (0, 8005)	0.1483862709349633
  (0, 7354)	0.2387008149488938
  (0, 7152)	0.30198040619741107
  (0, 7151)	0.30198040619741107
  (0, 7106)	0.30198040619741107
  (0, 4752)	0.25113240310785145
  (0, 4320)	0.13915883484163924
  (0, 4269)	0.2551142674545865
  (0, 3823)	0.2882729393383374
  (0, 3822)	0.24434837446363847
  (0, 2651)	0.15787295532941487
  (0, 2534)	0.19597946507524555"
50,ham,"  (0, 7497)	0.3247917182828183
  (0, 7444)	0.6780788684396655
  (0, 6449)	0.486348082682761
  (0, 2009)	0.4451796607902022"
51,ham,"  (0, 7843)	0.2624872047162313
  (0, 6787)	0.3053053984755212
  (0, 6499)	0.23020644516111066
  (0, 6375)	0.2816143164214535
  (0, 4633)	0.2824981944871251
  (0, 4485)	0.1432772603472257
  (0, 3610)	0.20291424534776414
  (0, 3563)	0.2824981944871251
  (0, 3515)	0.5828940077447673
  (0, 3409)	0.24406483976424823
  (0, 2805)	0.29144700387238365"
52,ham,"  (0, 7566)	0.29598616199347844
  (0, 7557)	0.2720308767675758
  (0, 6290)	0.4166455112975058
  (0, 5678)	0.29330401004383655
  (0, 4998)	0.28091560519573033
  (0, 3338)	0.40844704712919705
  (0, 2757)	0.32761550621021174
  (0, 2267)	0.4750749226604811"
53,ham,"  (0, 8245)	0.2273323948700716
  (0, 7461)	0.18595327337155187
  (0, 6874)	0.4444888971031284
  (0, 6332)	0.19637814351331978
  (0, 6096)	0.2652811771040342
  (0, 5324)	0.2875982177077716
  (0, 4486)	0.24296413650029677
  (0, 3645)	0.1661278267070669
  (0, 2827)	0.2875982177077716
  (0, 2826)	0.2652811771040342
  (0, 2651)	0.15035406153906822
  (0, 2641)	0.16539605239365196
  (0, 2534)	0.18664570186092527
  (0, 1853)	0.2875982177077716
  (0, 1455)	0.18595327337155187
  (0, 884)	0.2875982177077716"
54,spam,"  (0, 8155)	0.25302084798227453
  (0, 6974)	0.5060416959645491
  (0, 6807)	0.15863369056301616
  (0, 6217)	0.13350017126988076
  (0, 6138)	0.20473259735091448
  (0, 5692)	0.1681645155373532
  (0, 5176)	0.13391981953273854
  (0, 4162)	0.25302084798227453
  (0, 3983)	0.25302084798227453
  (0, 3907)	0.207432328690146
  (0, 3774)	0.24153574889242016
  (0, 2840)	0.3407456677276367
  (0, 2513)	0.25302084798227453
  (0, 2507)	0.24153574889242016
  (0, 2216)	0.20000066684110213
  (0, 870)	0.20226793573962737"
55,ham,"  (0, 8331)	0.34772500853767147
  (0, 7824)	0.4350760542291996
  (0, 6612)	0.4848070522181887
  (0, 4725)	0.4848070522181887
  (0, 4633)	0.22429527550140035
  (0, 4320)	0.2234091455112139
  (0, 3563)	0.22429527550140035
  (0, 2532)	0.26304372676476934"
56,spam,"  (0, 8318)	0.20521014443247312
  (0, 7208)	0.29488072902198753
  (0, 7016)	0.29488072902198753
  (0, 6912)	0.20521014443247312
  (0, 5535)	0.252697696313794
  (0, 4914)	0.19045626333139742
  (0, 4785)	0.29488072902198753
  (0, 4067)	0.2658582449694952
  (0, 3265)	0.14987088516585467
  (0, 2654)	0.1689394938819525
  (0, 2160)	0.2372803520560926
  (0, 1995)	0.2658582449694952
  (0, 1743)	0.27007359692658595
  (0, 641)	0.2658582449694952
  (0, 353)	0.27485256882263187
  (0, 219)	0.29488072902198753"
57,ham,"  (0, 6874)	0.47385876552421957
  (0, 4824)	0.60151258316787
  (0, 4539)	0.4193782792379082
  (0, 4397)	0.48760879968477827"
58,ham,"  (0, 7353)	0.54680695491011
  (0, 6080)	0.8372587139361005"
59,ham,"  (0, 8329)	0.27787089774352713
  (0, 6554)	0.4471691669726854
  (0, 6519)	0.4982824579186895
  (0, 5318)	0.47566446635961745
  (0, 3372)	0.4982824579186895"
60,ham,"  (0, 8043)	0.2954672656840753
  (0, 5648)	0.3135386793095391
  (0, 5485)	0.371031034020502
  (0, 4294)	0.4998237004218878
  (0, 3789)	0.26457540709471367
  (0, 3474)	0.3272322634360673
  (0, 1715)	0.4998237004218878"
61,ham,"  (0, 6731)	0.27213575807640367
  (0, 6514)	0.33194449828331773
  (0, 4188)	0.28042805353327876
  (0, 3595)	0.8057817352029122
  (0, 3476)	0.15529509876716407
  (0, 3431)	0.25241694384378194"
62,ham,"  (0, 4073)	0.7467046561602212
  (0, 1926)	0.6651557385068897"
63,ham,"  (0, 7570)	0.4463411074645061
  (0, 6874)	0.30980236352478785
  (0, 6335)	0.5546914863414428
  (0, 5343)	0.26867481830066214
  (0, 3222)	0.49300507570517327
  (0, 2095)	0.2861455987118742"
64,ham,"  (0, 8273)	0.267391339248997
  (0, 8134)	0.224289971876691
  (0, 6647)	0.259484541196073
  (0, 6401)	0.3707241827080819
  (0, 5343)	0.14141226002179683
  (0, 5188)	0.19599590260820815
  (0, 4577)	0.2182698231185675
  (0, 4385)	0.2121805354431693
  (0, 3605)	0.2315465923509216
  (0, 2697)	0.2919520973142118
  (0, 2668)	0.23492378313085824
  (0, 2359)	0.16726165769333748
  (0, 2346)	0.5060484335831233
  (0, 1922)	0.2103630250656435"
65,spam,"  (0, 7862)	0.268611035076095
  (0, 6277)	0.2952600694141393
  (0, 6119)	0.31677529845504143
  (0, 5894)	0.1992692879880467
  (0, 5701)	0.2952600694141393
  (0, 4949)	0.2448111876784809
  (0, 3201)	0.2901262641169972
  (0, 2342)	0.21330661051022884
  (0, 1562)	0.25123382079790435
  (0, 1288)	0.22922250191029456
  (0, 942)	0.31677529845504143
  (0, 350)	0.31677529845504143
  (0, 267)	0.32783564702489937"
66,ham,"  (0, 7860)	0.3379944361890244
  (0, 7814)	0.15980390561299243
  (0, 7538)	0.1866701195305038
  (0, 6859)	0.5929935787692193
  (0, 6536)	0.17855495995447626
  (0, 6351)	0.292927429819393
  (0, 3296)	0.28377368927584656
  (0, 2434)	0.34979566026538267
  (0, 2433)	0.34979566026538267
  (0, 2401)	0.17551492072722413"
67,spam,"  (0, 7818)	0.16703891913892294
  (0, 7814)	0.12101386554688975
  (0, 7701)	0.14021510102662263
  (0, 7644)	0.20443952862131926
  (0, 7626)	0.26488792522226695
  (0, 6670)	0.26488792522226695
  (0, 4995)	0.26488792522226695
  (0, 4629)	0.26488792522226695
  (0, 2917)	0.26488792522226695
  (0, 2876)	0.26488792522226695
  (0, 2576)	0.19550287755395618
  (0, 2129)	0.2193371454351697
  (0, 2000)	0.15328199822335012
  (0, 1288)	0.18520948986570532
  (0, 898)	0.26488792522226695
  (0, 784)	0.24901946905828434
  (0, 607)	0.17234960873537136
  (0, 518)	0.26488792522226695
  (0, 368)	0.17627283879834224
  (0, 299)	0.18290737530290554
  (0, 297)	0.18520948986570532"
68,spam,"  (0, 7117)	0.29447242243994654
  (0, 5176)	0.23833285047111344
  (0, 4267)	0.45029316899200134
  (0, 3688)	0.3105258085949199
  (0, 2605)	0.42985350282773344
  (0, 2532)	0.24431738929215657
  (0, 2097)	0.331759356039297
  (0, 1354)	0.45029316899200134"
69,ham,"  (0, 5684)	0.695753470423802
  (0, 4988)	0.5079011263982567
  (0, 2840)	0.5079011263982567"
70,ham,"  (0, 7972)	0.48322110542516705
  (0, 6445)	0.43569274794354135
  (0, 4979)	0.33652243617297917
  (0, 4726)	0.348150705327376
  (0, 4639)	0.40600617310554565
  (0, 3701)	0.42115545395201637"
71,ham,"  (0, 3133)	0.7490230731896023
  (0, 2009)	0.6625439123783446"
72,ham,"  (0, 8289)	0.5013394118161074
  (0, 8003)	0.4437874714870367
  (0, 3941)	0.39315392106757036
  (0, 3789)	0.3359747127105845
  (0, 3737)	0.3601283874237792
  (0, 1310)	0.39315392106757036"
73,ham,"  (0, 5594)	0.8789577413915356
  (0, 2532)	0.47689966329186095"
74,ham,
75,ham,"  (0, 7982)	0.5301885937825775
  (0, 4681)	0.7515166262553133
  (0, 3265)	0.39258478763788685"
76,ham,"  (0, 7634)	0.3845018047517248
  (0, 7415)	0.330669869285952
  (0, 6244)	0.4434554068320265
  (0, 3397)	0.46640757900076446
  (0, 2554)	0.46640757900076446
  (0, 2204)	0.33330322881996055"
77,ham,"  (0, 6680)	0.5768803500513635
  (0, 5587)	0.6254109783309028
  (0, 5474)	0.4358071231065974
  (0, 4485)	0.293500121562752"
78,ham,"  (0, 5389)	0.7247810507849393
  (0, 4633)	0.3353188958786837
  (0, 3563)	0.3353188958786837
  (0, 2626)	0.49981487028346816"
79,ham,"  (0, 7268)	0.5302644043141518
  (0, 4581)	0.4373864412287609
  (0, 4177)	0.4104741029655087
  (0, 2758)	0.5991859255199995"
80,ham,"  (0, 6874)	0.59316625334809
  (0, 4539)	0.5249687475041644
  (0, 4397)	0.6103782516054274"
81,ham,"  (0, 4226)	0.43548427432063247
  (0, 2532)	0.564813972837837
  (0, 977)	0.7009555070805646"
82,ham,"  (0, 8043)	0.4044342205126902
  (0, 5343)	0.320203419684834
  (0, 3789)	0.3621495880006898
  (0, 3737)	0.7763700195212083"
83,ham,"  (0, 5678)	0.6905935703414404
  (0, 4726)	0.7232430577634756"
84,ham,"  (0, 8369)	0.779224006820425
  (0, 7063)	0.6267455202829313"
85,ham,"  (0, 7821)	0.5909924648860501
  (0, 6807)	0.42249002902053856
  (0, 5169)	0.46957629679227686
  (0, 4397)	0.3572345299054977
  (0, 2651)	0.35229486791633097"
86,ham,"  (0, 8340)	0.31396691726260345
  (0, 7832)	0.35276781449402983
  (0, 7485)	0.3720554052200694
  (0, 6089)	0.3056011489203487
  (0, 5144)	0.23360128133570426
  (0, 5052)	0.45980842984088804
  (0, 4120)	0.43893684783021153
  (0, 3413)	0.294114688462287"
87,ham,"  (0, 8329)	0.19674093056850736
  (0, 7011)	0.26185621567148454
  (0, 6536)	0.17191345480049935
  (0, 6225)	0.3254224427224904
  (0, 5485)	0.2500033094392108
  (0, 5212)	0.33678471012944916
  (0, 4716)	0.19828998862047864
  (0, 3500)	0.27887038219662447
  (0, 3012)	0.35279892659852935
  (0, 2668)	0.26185621567148454
  (0, 2071)	0.3254224427224904
  (0, 1835)	0.20760005846401275
  (0, 1783)	0.2485669359644616
  (0, 1418)	0.24584199920240432"
88,ham,"  (0, 7566)	0.6006156262195712
  (0, 6098)	0.5606439351737456
  (0, 1310)	0.5700344265864732"
89,ham,"  (0, 8090)	0.3564071147458572
  (0, 7814)	0.2153371967512918
  (0, 4249)	0.42451654980467474
  (0, 3936)	0.39953208419362385
  (0, 3265)	0.23147926671858132
  (0, 2809)	0.4713527909620171
  (0, 2675)	0.3947223401512438
  (0, 2095)	0.23495072379742435"
90,ham,"  (0, 8317)	0.3181014908432443
  (0, 7458)	0.4119003618803232
  (0, 6999)	0.4579662763936469
  (0, 4539)	0.25108455461451995
  (0, 2651)	0.28789789211081007
  (0, 2030)	0.4119003618803232
  (0, 1845)	0.451470779926388"
91,ham,"  (0, 7497)	0.15888905522293736
  (0, 7118)	0.3317181587715267
  (0, 6930)	0.27586285950071515
  (0, 6874)	0.3417847758042672
  (0, 6607)	0.30597749988530465
  (0, 5485)	0.23506488042219834
  (0, 5343)	0.14820571652901
  (0, 5196)	0.18392901556806926
  (0, 4822)	0.19426690134368155
  (0, 4811)	0.23506488042219834
  (0, 4394)	0.20667052710019812
  (0, 3976)	0.3317181587715267
  (0, 3667)	0.2394388619205657
  (0, 1843)	0.3317181587715267
  (0, 961)	0.23241118598642022"
92,ham,"  (0, 7651)	0.19142080050176954
  (0, 7175)	0.2123173016823719
  (0, 6799)	0.17503228796536044
  (0, 6795)	0.7821195931078287
  (0, 6036)	0.18870581208993645
  (0, 5805)	0.21973045345106004
  (0, 5703)	0.19445589932338253
  (0, 5485)	0.16311114755247902
  (0, 4618)	0.19142080050176954
  (0, 4485)	0.10802093336703757
  (0, 3883)	0.19142080050176954
  (0, 1416)	0.20656721444892578"
93,spam,"  (0, 8202)	0.20376348986412798
  (0, 6558)	0.22336190552953936
  (0, 6222)	0.2909822808054887
  (0, 5894)	0.20866286221537553
  (0, 3566)	0.2292280879365506
